"N","Time","Error","Space"
7980,2.10931611061096,4.90813933633828e-13,115856600
8140,20.6406300067902,4.8983379732921e-12,347187896
20414,1.58255179723104,8.40766338363409e-15,950883592
96307,26.7031300067902,2.21326966500732e-14,1266841000
513351,2.87503004074097,6.94014289516829e-06,410956392
1585478,2.76093748410543,2.07923801106198e-12,4129706656
