N,Error,Time
7980,3.55402447925177e-15,0.2288959
8140,1.44100279532032e-11,0.7633544
20414,9.71374637235455e-16,1.8126756
72000,4.53546692001531e-11,156.8991371
96307,2.11412548639253e-14,3.0750315
513351,1.12101483800396e-05,3.2213581
1585478,3.57662530396195e-12,16.3163903
