,N,Time,Error,Space
0,7980,1.8379580974578857,4.43152180487755e-13,181497856
1,8140,1.5553619861602783,1.2043145404009759e-11,197005312
2,20414,12.350619316101074,8.256239966082104e-15,242946048
3,72000,62.26405167579651,8.371047853825169e-11,4025274368
4,96307,7.277957439422607,4.0271812933242365e-14,362860544
5,513351,2.392310619354248,1.3226423060529224e-05,647729152
6,1585478,25.71936011314392,2.9559931213841185e-12,1588056064
