N,Time,Error,Space
7980,0.250219686,4.25767363779486e-15,70466080
8140,2.586377242,1.2005371941927177e-11,743260541
20414,1.892587321,1.0822909261878116e-15,365007280
72000,100.37518552,7.041744105931658e-11,6344356132
96307,2.059014445,2.6381697703613173e-14,707805552
513351,3.24084306,1.121014838003962e-5,1599382064
1585478,27.260843456,3.7951053321469836e-12,2024289884
