N,Time,Error,Space
7980,0.2020362,4.25767363779486e-15,70466080
8140,2.8697548,1.2005371941927177e-11,743262077
20414,2.2293661,1.0822909261878116e-15,365810233
72000,231.3434803,3.653190246628345e-11,9324696104
96307,2.2848996,2.6381697703613173e-14,707805552
513351,3.6124358,1.1210148380039549e-5,1599382064
1585478,19.8992946,4.882532290374072e-12,2996839392
