N,Time,Error,Space
7980,0.445274196,4.25767363779486e-15,70466176
8140,2.184194783,1.2005371941927177e-11,709869080
20414,2.534673319,1.0822909261878116e-15,365007376
96307,2.135910564,2.6381697703613173e-14,707805648
513351,3.639315267,1.121014838003962e-5,1562420752
1585478,37.663285542,4.885361174138983e-12,2895368776
