N,Time,Error,Space
7980,0.291956121,4.25767363779486e-15,70466176
8140,2.237692098,1.2005371941927177e-11,710592777
20414,2.174391812,1.0822909261878116e-15,365147675
96307,2.170073535,2.6381697703613173e-14,707805648
513351,3.072173877,1.121014838003962e-5,1599382096
1585478,28.62515606,4.885361174138983e-12,2996839424
